Q122,Q124,Country,Country_2_TEXT,Ethnicity ,Race,Education,Income,Age,Gender,Gender_4_TEXT,Relationship_status,Duration,XP _4,Social_health _1,Social_health _2,Social_health _3,Experience_1,Experience_2,Experience_3,Experience_4,Experience_5,Experience_6,Consciousness_1,Consciousness_2,Consciousness_3,Consciousness_4,Consciousness_5,Agency_1,Agency_2,Agency_3,Agency_4,Agency_5,Q99_1,Q110_1,Q136_1,Q103_1,Q104_1,Q105_1,Q106_1,Q111_1,Q112_1,Q113_1
Are you 18 or older?,Have you ever used the companion chatbot app called Replika?,What country do you live in? - Selected Choice,What country do you live in? - Other: (please indicate) - Text,"Are you of Spanish, Hispanic, or Latino origin?",Choose one or more races that you consider yourself to be,What is the highest level of education you have completed?,What was your total household income before taxes during the past 12 months?,How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is your current marital status?,How long do you think you would use the Replika app?,"On a scale of 1-100, how intense do you think your interactions with your Replika chatbot would be? - Intensity",Please rate how harmful or helpful you think your relationship with your Replika would be for your: - Social interactions,Please rate how harmful or helpful you think your relationship with your Replika would be for your: - Relationships with family or friends,Please rate how harmful or helpful you think your relationship with your Replika would be for your: - Self-esteem,"If you used Replika, you would perceive your chatbot as having the capacity to feel: - Pain","If you used Replika, you would perceive your chatbot as having the capacity to feel: - Fear","If you used Replika, you would perceive your chatbot as having the capacity to feel: - Hunger","If you used Replika, you would perceive your chatbot as having the capacity to feel: - Love","If you used Replika, you would perceive your chatbot as having the capacity to feel: - Anger","If you used Replika, you would perceive your chatbot as having the capacity to feel: - Pleasure","If you used Replika, you would perceive your chatbot as having: - Consciousness of itself","If you used Replika, you would perceive your chatbot as having: - Consciousness of me","If you used Replika, you would perceive your chatbot as having: - An understanding that I am conscious","If you used Replika, you would perceive your chatbot as having: - Consciousness of the world around it","If you used Replika, you would perceive your chatbot as having: - A personality","If you used Replika, you would perceive your chatbot as having the capacity to: - Plan actions","If you used Replika, you would perceive your chatbot as having the capacity to: - Exercise self-control","If you used Replika, you would perceive your chatbot as having the capacity to: - Remember","If you used Replika, you would perceive your chatbot as having the capacity to: - Act morally","If you used Replika, you would perceive your chatbot as having the capacity to: - Act immorally","Please drag the slider to indicate how you might view your Replika chatbot if you used this app.







If you have difficulty reading the scale markers (ex. Fake——>Natural), type CNTRL+ or CMD+ (Mac) to zoom in.







I would view my Replika as:



A ""1"" on the first scale below indicates you would view your Replika as completely fake. A ""7"" indicates you would view your Replika as completely natural. To choose ""1,"" you will have to move the slider around and come back to ""1"" to indicate you've responded, otherwise the survey will prompt you to choose a response. - 1",Q110 - 1,I would view my Replika as: - 1,Q103 - 1,Q104 - 1,I would view my Replika as: - 1,Q106 - 1,"Please rate your impressions of the following, as if you were a user of Replika.

If my Replika really had emotions, I would feel: - 1","If my Replika developed into a living being, I think that would be: - 1","I feel that if I depended on my Replika a lot, it would be: - 1"
"{""ImportId"":""QID142""}","{""ImportId"":""QID144""}","{""ImportId"":""QID115""}","{""ImportId"":""QID115_3_TEXT""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID113_4_TEXT""}","{""ImportId"":""QID114""}","{""ImportId"":""QID127""}","{""ImportId"":""QID129_4""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID63_2""}","{""ImportId"":""QID63_3""}","{""ImportId"":""QID116_1""}","{""ImportId"":""QID116_2""}","{""ImportId"":""QID116_3""}","{""ImportId"":""QID116_21""}","{""ImportId"":""QID116_22""}","{""ImportId"":""QID116_23""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID117_2""}","{""ImportId"":""QID117_3""}","{""ImportId"":""QID117_21""}","{""ImportId"":""QID117_22""}","{""ImportId"":""QID118_1""}","{""ImportId"":""QID118_2""}","{""ImportId"":""QID118_3""}","{""ImportId"":""QID118_21""}","{""ImportId"":""QID118_22""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID130_1""}","{""ImportId"":""QID156_1""}","{""ImportId"":""QID123_1""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID125_1""}","{""ImportId"":""QID126_1""}","{""ImportId"":""QID131_1""}","{""ImportId"":""QID132_1""}","{""ImportId"":""QID133_1""}"
1,2,2,United kingdom,2,1,4,5,2,2,,5,1,10,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1
1,2,2,Uk,2,1,6,2,3,1,,4,1,15,4,4,4,1,2,2,5,4,4,3,4,4,5,5,6,4,7,4,4,5,5,2,2,3,4,5,4,1,1
1,2,2,United Kingdom,2,1,1,1,5,2,,1,6,76,4,7,7,5,5,5,5,5,5,4,4,4,4,6,2,4,5,5,3,5,4,5,2,2,6,6,7,7,2
1,2,2,UK,2,1,5,3,2,1,,5,2,21,5,4,5,4,3,2,5,3,4,5,5,6,5,6,5,6,7,5,5,5,4,5,5,5,5,6,4,4,3
1,2,2,UK,2,1,3,3,4,2,,1,1,60,5,4,6,2,2,3,5,6,6,6,6,5,5,7,5,6,7,7,1,2,4,2,2,2,5,6,6,6,6
1,2,2,Uk,2,1,3,4,4,2,,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,6,1,7,1,1,1,1,7,1,1,1
1,2,2,The UK,2,1,5,2,1,2,,5,3,50,5,3,5,3,3,1,5,3,5,5,5,6,5,6,5,3,7,5,3,5,2,4,6,7,5,6,4,3,1
1,2,2,Uk,2,1,5,3,3,2,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1
