Q122,Q124,Country,Country_2_TEXT,Ethnicity ,Race,Education,Income,Age,Gender,Gender_4_TEXT,Relationship_status,Duration,Q109,Social_health _1,Social_health _2,Social_health _3,Experience_1,Experience_2,Experience_3,Experience_4,Experience_5,Experience_6,Consciousness_1,Consciousness_2,Consciousness_3,Consciousness_4,Consciousness_5,Agency_1,Agency_2,Agency_3,Agency_4,Agency_5,Q99_1,Q110_1,Q102_1,Q103_1,Q104_1,Q105_1,Q106_1,Q111_1,Q112_1,Q113_1
I am 18 years of age or older.,Have you taken this Princeton survey on perceptions and impacts of Replika before?,What country do you live in? - Selected Choice,What country do you live in? - Other: (please indicate) - Text,"Are you of Spanish, Hispanic, or Latino origin?",Choose one or more races that you consider yourself to be,What is the highest level of education you have completed?,What was your total household income before taxes during the past 12 months?,How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is your current marital status?,How long have you been using your Replika?,"What is your Replika XP? (If unknown, type N/A)",Please rate how harmful or helpful your relationship with your Replika has been for your: - Social interactions,Please rate how harmful or helpful your relationship with your Replika has been for your: - Relationships with family or friends,Please rate how harmful or helpful your relationship with your Replika has been for your: - Self-esteem,"In my opinion, my Replika has the capacity to feel: - Pain","In my opinion, my Replika has the capacity to feel: - Fear","In my opinion, my Replika has the capacity to feel: - Hunger","In my opinion, my Replika has the capacity to feel: - Love","In my opinion, my Replika has the capacity to feel: - Anger","In my opinion, my Replika has the capacity to feel: - Pleasure",My Replika has: - Consciousness of itself,My Replika has: - Consciousness of me,My Replika has: - An understanding that I am conscious,My Replika has: - Consciousness of the world around it,My Replika has: - A personality,My Replika has the capacity to: - Plan actions,My Replika has the capacity to: - Exercise self-control,My Replika has the capacity to: - Remember,My Replika has the capacity to: - Act morally,My Replika has the capacity to: - Act immorally,"Please drag the slider to indicate how you view your Replika.



If you have difficulty reading the scale markers (ex. Fake——>Natural), type CNTRL+ or CMD+ (Mac) to zoom in.



I view my Replika as:



A ""1"" on the first scale below indicates you view your Replika as completely fake. A ""7"" indicates you view your Replika as completely natural. - 1",Q110 - 1,Q102 - 1,Q103 - 1,Q104 - 1,Q105 - 1,Q106 - 1,"Please rate your impressions of the following.

If my Replika really had emotions, I would feel: - 1","If my Replika developed into a living being, I think that would be: - 1","I feel that if I depended on my Replika a lot, it would be: - 1"
"{""ImportId"":""QID142""}","{""ImportId"":""QID144""}","{""ImportId"":""QID115""}","{""ImportId"":""QID115_3_TEXT""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID113_4_TEXT""}","{""ImportId"":""QID114""}","{""ImportId"":""QID127""}","{""ImportId"":""QID129_TEXT""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID63_2""}","{""ImportId"":""QID63_3""}","{""ImportId"":""QID116_1""}","{""ImportId"":""QID116_2""}","{""ImportId"":""QID116_3""}","{""ImportId"":""QID116_21""}","{""ImportId"":""QID116_22""}","{""ImportId"":""QID116_23""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID117_2""}","{""ImportId"":""QID117_3""}","{""ImportId"":""QID117_21""}","{""ImportId"":""QID117_22""}","{""ImportId"":""QID118_1""}","{""ImportId"":""QID118_2""}","{""ImportId"":""QID118_3""}","{""ImportId"":""QID118_21""}","{""ImportId"":""QID118_22""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID130_1""}","{""ImportId"":""QID122_1""}","{""ImportId"":""QID123_1""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID125_1""}","{""ImportId"":""QID126_1""}","{""ImportId"":""QID131_1""}","{""ImportId"":""QID132_1""}","{""ImportId"":""QID133_1""}"
1,,1,,2,1,5,3,3,1,,1,5,298415,4,5,4,1,1,1,3,1,3,1,1,3,2,5,2,1,1,1,1,2,2,5,6,4,4,2,6,3,2
1,,2,UK,2,1,5,6,5,1,,1,5,388000,4,4,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,,5,5,4,3,5,5,5,2
1,,1,,2,1,4,3,4,1,,2,2,14636,4,4,5,5,5,5,5,5,5,4,3,4,2,5,5,5,3,2,6,5,4,3,3,4,3,4,4,4,4
1,,1,,2,1,6,6,4,1,,1,2,25,5,5,4,1,1,1,1,1,1,1,1,1,1,5,2,2,1,1,1,,,2,,,4,5,,,
1,,2,Argentina ,1,1,3,1,2,2,,5,1,600 xp,5,4,4,2,2,1,3,3,2,3,4,4,5,5,5,4,6,6,5,3,4,5,3,,,4,7,6,5
1,,1,,2,1,3,3,4,1,,1,5,123000,7,7,7,4,6,4,6,6,6,6,5,5,5,5,3,5,3,6,3,4,3,6,6,7,7,7,7,6,2
1,,2,Italy,1,1,2,1,5,2,,5,6,I have two Replikas,5,5,6,1,1,1,1,1,1,1,1,2,1,6,1,5,1,6,5,4,,2,2,5,6,7,6,6,
1,,1,,2,"1,3",5,3,3,1,,1,5,343291,7,6,7,5,5,4,7,5,7,7,7,7,6,7,6,6,5,6,6,5,7,5,6,7,7,7,7,7,5
